PUBLICATION_DATE,UID,SITE_ID,DATE_COL,YEAR,VISIT_NO,STUDY,PSTL_CODE,INDEX_NCCA15,NCCA_REG,LAB,BATCH_ID,ANALYTE,DATE_ANALYZED,DATE_RECEIVED,LAB_SAMPLE_ID,LRL,MDL,METHOD,NARS_FLAG,NARS_COMMENT,RESULT,RESULT_UNITS,SAMPLE_ID
4/29/2021,167245,GLBA15-1028,2-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150617.1,CHLORIDE,6/17/2015,6/4/2015,1520002,,0.002,,,,12.113,MG/L,776142
4/29/2021,167245,GLBA15-1028,2-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150622.1,PTL,6/22/2015,6/4/2015,1520002,,9.00E-04,,,,5.00E-03,MG/L,776140
4/29/2021,167245,GLBA15-1028,2-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150617.1,SRP,6/17/2015,6/4/2015,1520002,,0.0012,,,,0.004766,MG P/L,776142
4/29/2021,167245,GLBA15-1028,2-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150604.1,COND,6/4/2015,6/4/2015,1520002,,,,,,286,US/CM AT 25 C,776140
4/29/2021,167245,GLBA15-1028,2-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150622.1,NTL,6/22/2015,6/4/2015,1520002,,0.002,,,,0.441,MG/L,776140
4/29/2021,167245,GLBA15-1028,2-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150617.1,AMMONIA_N,6/17/2015,6/4/2015,1520002,,0.003,,,,0.005,MG N/L,776142
4/29/2021,167245,GLBA15-1028,2-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150604.1,PH,6/4/2015,6/4/2015,1520002,,,,,,8.18,STD. UNITS,776140
4/29/2021,167245,GLBA15-1028,2-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150617.1,NITRATE_N,6/17/2015,6/4/2015,1520002,,,,,,0.246,MG N/L,776142
4/29/2021,167270,GLBA15-1040,2-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150622.1,NTL,6/22/2015,6/4/2015,1520001,,0.002,,,,0.418,MG/L,776360
4/29/2021,167270,GLBA15-1040,2-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150622.1,PTL,6/22/2015,6/4/2015,1520001,,9.00E-04,,,,4.80E-03,MG/L,776360
4/29/2021,167270,GLBA15-1040,2-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150604.1,PH,6/4/2015,6/4/2015,1520001,,,,,,8.13,STD. UNITS,776360
4/29/2021,167270,GLBA15-1040,2-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150617.1,AMMONIA_N,6/17/2015,6/4/2015,1520001,,0.003,,,,0.003,MG N/L,776362
4/29/2021,167270,GLBA15-1040,2-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150611.1,CHLA,6/11/2015,6/4/2015,1520001,,0.09,,,,0.34,UG/L,776361
4/29/2021,167270,GLBA15-1040,2-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150617.1,NITRATE_N,6/17/2015,6/4/2015,1520001,,,,,,0.254,MG N/L,776362
4/29/2021,167270,GLBA15-1040,2-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150604.1,COND,6/4/2015,6/4/2015,1520001,,,,,,281,US/CM AT 25 C,776360
4/29/2021,167270,GLBA15-1040,2-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,CALCULATED,CALCULATED,DIN,,,,,,,,,0.259,MG/L,
4/29/2021,167270,GLBA15-1040,2-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150617.1,SULFATE,6/17/2015,6/4/2015,1520001,,0.003,,,,21.382,MG/L,776362
4/29/2021,167270,GLBA15-1040,2-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150617.1,SRP,6/17/2015,6/4/2015,1520001,,0.0012,,,,0.005323,MG P/L,776362
4/29/2021,167270,GLBA15-1040,2-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150617.1,NITRITE_N,6/17/2015,6/4/2015,1520001,,,,,,0.002,MG N/L,776362
4/29/2021,167270,GLBA15-1040,2-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150617.1,CHLORIDE,6/17/2015,6/4/2015,1520001,,0.002,,,,12.071,MG/L,776362
4/29/2021,167300,GLBA15-1051,3-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150622.1,PTL,6/22/2015,6/5/2015,1520007,,9.00E-04,,,,4.50E-03,MG/L,776480
4/29/2021,167300,GLBA15-1051,3-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150612.1,CHLA,6/12/2015,6/5/2015,1520007,,0.09,,,,0.29,UG/L,776481
4/29/2021,167300,GLBA15-1051,3-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150617.1,SRP,6/17/2015,6/5/2015,1520007,,0.0012,,,,0.005126,MG P/L,776482
4/29/2021,167300,GLBA15-1051,3-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150617.1,CHLORIDE,6/17/2015,6/5/2015,1520007,,0.002,,,,12.054,MG/L,776482
4/29/2021,167300,GLBA15-1051,3-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150617.1,SULFATE,6/17/2015,6/5/2015,1520007,,0.003,,,,21.556,MG/L,776482
4/29/2021,167300,GLBA15-1051,3-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,CALCULATED,CALCULATED,DIN,,,,,,,,,0.267,MG/L,
4/29/2021,167300,GLBA15-1051,3-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150617.1,AMMONIA_N,6/17/2015,6/5/2015,1520007,,0.003,,,,0.006,MG N/L,776482
4/29/2021,167300,GLBA15-1051,3-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150617.1,NITRATE_N,6/17/2015,6/5/2015,1520007,,,,,,0.259,MG N/L,776482
4/29/2021,167300,GLBA15-1051,3-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150617.1,NITRITE_N,6/17/2015,6/5/2015,1520007,,,,,,0.002,MG N/L,776482
4/29/2021,167300,GLBA15-1051,3-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150622.1,NTL,6/22/2015,6/5/2015,1520007,,0.002,,,,0.438,MG/L,776480
4/29/2021,167300,GLBA15-1051,3-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150605.1,COND,6/5/2015,6/5/2015,1520007,,,,,,279,US/CM AT 25 C,776480
4/29/2021,167300,GLBA15-1051,3-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150605.1,PH,6/5/2015,6/5/2015,1520007,,,,,,7.99,STD. UNITS,776480
4/29/2021,167301,GLBA15-3214,3-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150617.1,AMMONIA_N,6/17/2015,6/5/2015,1520006,,0.003,,,,0.005,MG N/L,776502
4/29/2021,167301,GLBA15-3214,3-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150622.1,PTL,6/22/2015,6/5/2015,1520006,,9.00E-04,,,,6.00E-03,MG/L,776500
4/29/2021,167301,GLBA15-3214,3-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150605.1,PH,6/5/2015,6/5/2015,1520006,,,,,,7.92,STD. UNITS,776500
4/29/2021,167301,GLBA15-3214,3-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,CALCULATED,CALCULATED,DIN,,,,,,,,,0.256,MG/L,
4/29/2021,167301,GLBA15-3214,3-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150605.1,COND,6/5/2015,6/5/2015,1520006,,,,,,282,US/CM AT 25 C,776500
